# t AFE1_1	AFE1_2	AFE1_3	AFE1_4	AFE2_1	AFE2_2	AFE2_3	AFE2_4	AFE3_1	AFE3_2	AFE3_3	AFE3_4	AFE4_1	AFE4_2	AFE4_3	AFE4_4	
651 1.9683839E-4 0.009402466 0.011219787 0.009072877 0.0 0.0 0.0 0.0 -0.004399109 -0.01131134 -0.009571838 -0.0041152956 0.0062438967 0.002989197 0.011595154 0.0020278932 
653 5.493164E-4 0.009745789 0.011540222 0.009397889 0.0 0.0 0.0 0.0 -0.004852295 -0.0118286135 -0.010121155 -0.004774475 0.0063583376 0.0031311037 0.01177826 0.0022109987 
655 6.1798096E-4 0.009846496 0.011531067 0.009292603 0.0 0.0 0.0 0.0 -0.0047927857 -0.011750794 -0.009997559 -0.0047470094 0.005708313 0.0024124146 0.0111373905 0.001689148 
657 4.2114258E-4 0.009736634 0.011499024 0.009242249 0.0 0.0 0.0 0.0 -0.0047882083 -0.01179657 -0.010125733 -0.004953003 0.006719971 0.0033737184 0.01212616 0.0025680542 
659 -0.0014144898 0.0079925535 0.010157776 0.008335876 0.0 0.0 0.0 0.0 -0.005726624 -0.012872315 -0.011329651 -0.006088257 0.0044815065 0.0012451172 0.010061646 5.767822E-4 
661 0.0019592287 0.010990906 0.012515259 0.010029602 0.0 0.0 0.0 0.0 -0.005282593 -0.012322999 -0.010629273 -0.0053100586 0.0054428102 0.0021652223 0.010848999 0.0012771607 
663 5.950928E-4 0.009718323 0.011485291 0.00929718 0.0 0.0 0.0 0.0 -0.0042846682 -0.011242676 -0.009402466 -0.0041290284 0.0054107667 0.0020828247 0.010784912 0.0012313843 
665 4.119873E-4 0.009663391 0.011503601 0.00929718 0.0 0.0 0.0 0.0 -0.0053146365 -0.012528992 -0.010835267 -0.00552063 0.0053512575 0.0021469116 0.0108535765 0.0013046265 
667 6.317139E-4 0.009883118 0.011576843 0.009443665 0.0 0.0 0.0 0.0 -0.005223084 -0.012345887 -0.010610962 -0.00526886 0.006193543 0.0029846192 0.011581421 0.0020736696 
669 7.8735355E-4 0.010098266 0.011709595 0.00953064 0.0 0.0 0.0 0.0 -0.0048706057 -0.01179657 -0.010144043 -0.0048294067 0.005255127 0.002078247 0.010830688 0.001387024 
671 5.950928E-4 0.009786988 0.011677551 0.009352112 0.0 0.0 0.0 0.0 -0.005168152 -0.012322999 -0.0105606085 -0.005319214 0.0059829713 0.002696228 0.011476136 0.001940918 
673 1.2817384E-4 0.009342956 0.011196899 0.008958436 0.0 0.0 0.0 0.0 -0.0044952394 -0.01156311 -0.009896851 -0.0046142577 0.0061065676 0.002774048 0.011412049 0.0018585206 
675 0.0022476197 0.011251831 0.012753297 0.0102355955 0.0 0.0 0.0 0.0 -0.0059509277 -0.0132019045 -0.0115448 -0.006385803 0.0049484256 0.0016479492 0.010446168 8.4228517E-4 
677 3.4332275E-4 0.009562683 0.011347962 0.009150696 0.0 0.0 0.0 0.0 -0.0044540404 -0.0114624025 -0.009663391 -0.0043029785 0.0056900023 0.0023529052 0.011054993 0.001437378 
679 2.6550292E-4 0.009443665 0.011343384 0.009159851 0.0 0.0 0.0 0.0 -0.005108643 -0.012162781 -0.010446168 -0.0050857547 0.0054428102 0.002156067 0.010903931 0.0013366699 
681 4.4403077E-4 0.009741211 0.0115356445 0.009324647 0.0 0.0 0.0 0.0 -0.0049621584 -0.012020875 -0.010221863 -0.0048339847 0.005104065 0.001940918 0.010670471 0.001222229 
683 7.2784425E-4 0.0098373415 0.011677551 0.009425354 0.0 0.0 0.0 0.0 -0.004893494 -0.011846924 -0.010139465 -0.0048843385 0.006793213 0.003492737 0.012181092 0.0025405884 
685 7.415772E-4 0.009970093 0.011727906 0.009535218 0.0 0.0 0.0 0.0 -0.0059463503 -0.0132339485 -0.0116088865 -0.0064498903 0.004911804 0.0016525269 0.010418701 9.979248E-4 
687 -4.7607423E-4 0.0088623045 0.0109588625 0.008953857 0.0 0.0 0.0 0.0 -0.0050857547 -0.012213135 -0.010423279 -0.005053711 0.0061431886 0.002961731 0.011558533 0.0019500733 
689 0.0019958497 0.01111908 0.012693787 0.010189819 0.0 0.0 0.0 0.0 -0.0049713138 -0.011965943 -0.0103408815 -0.005090332 0.0056259157 0.0023483278 0.011073303 0.0015701294 
691 4.0740968E-4 0.009677124 0.011480713 0.009251404 0.0 0.0 0.0 0.0 -0.0049346923 -0.012043763 -0.010322571 -0.0050582886 0.005612183 0.002407837 0.01105957 0.0015106201 
694 -6.408692E-5 0.009274292 0.0111373905 0.008935547 0.0 0.0 0.0 0.0 -0.00519104 -0.012318421 -0.010588074 -0.005296326 0.005749512 0.0024169923 0.01111908 0.0016159058 
696 7.18689E-4 0.009933472 0.011677551 0.009388733 0.0 0.0 0.0 0.0 -0.0049804687 -0.011929322 -0.0100891115 -0.004779053 0.004902649 0.0017211915 0.010423279 9.613037E-4 
698 8.560181E-4 0.009997559 0.011668396 0.009411621 0.0 0.0 0.0 0.0 -0.0045776367 -0.011517334 -0.009745789 -0.0044677737 0.006893921 0.0035659792 0.0121536255 0.002458191 
700 8.4228517E-4 0.009970093 0.011732483 0.009521484 0.0 0.0 0.0 0.0 -0.005067444 -0.012149048 -0.01055603 -0.0053100586 0.005003357 0.001789856 0.010533142 0.0010665894 
